Product,Category,N_products,Total,Percentage,Fixed,Repairable,End of Life,Fixed Cnt,Repairable Cnt,End of Life Cnt
Washing Machine - Model 130,Washing Machine,152,159,0.1%,71.9%,28.1%,0.0%,114,45,0
Washing Machine - Model 131,Washing Machine,152,88,0.0%,73.0%,19.1%,7.9%,64,17,7
Washing Machine - Model 132,Washing Machine,152,89,0.0%,47.2%,7.5%,45.3%,42,7,40
Washing Machine - Model 133,Washing Machine,152,6,0.0%,42.2%,21.7%,36.2%,3,1,2
Washing Machine - Model 134,Washing Machine,152,30,0.0%,72.3%,17.7%,10.0%,22,5,3
Washing Machine - Model 135,Washing Machine,152,131,0.0%,42.2%,18.4%,39.4%,55,24,52
Washing Machine - Model 136,Washing Machine,152,18,0.0%,77.4%,19.9%,2.6%,14,4,0
Washing Machine - Model 137,Washing Machine,152,8,0.0%,72.4%,25.0%,2.6%,6,2,0
Washing Machine - Model 138,Washing Machine,152,26,0.0%,76.5%,23.5%,0.0%,20,6,0
Washing Machine - Model 139,Washing Machine,152,17,0.0%,69.9%,10.9%,19.2%,12,2,3
Washing Machine - Model 140,Washing Machine,152,174,0.1%,42.4%,17.9%,39.7%,74,31,69
Washing Machine - Model 141,Washing Machine,152,135,0.0%,45.0%,29.1%,26.0%,61,39,35
Washing Machine - Model 142,Washing Machine,152,46,0.0%,51.6%,26.3%,22.1%,24,12,10
Washing Machine - Model 143,Washing Machine,152,4,0.0%,55.5%,13.1%,31.4%,2,1,1
Washing Machine - Model 144,Washing Machine,152,84,0.0%,77.4%,14.1%,8.5%,65,12,7
Washing Machine - Model 145,Washing Machine,152,65,0.0%,55.6%,7.7%,36.7%,36,5,24
Washing Machine - Model 146,Washing Machine,152,236,0.1%,66.8%,12.2%,21.0%,158,29,49
Washing Machine - Model 147,Washing Machine,152,55,0.0%,63.4%,19.8%,16.8%,35,11,9
Washing Machine - Model 148,Washing Machine,152,27,0.0%,68.8%,23.6%,7.6%,19,6,2
Washing Machine - Model 149,Washing Machine,152,49,0.0%,60.6%,13.3%,26.1%,30,7,12
Washing Machine - Model 150,Washing Machine,152,259,0.1%,73.5%,12.7%,13.8%,190,33,36
Washing Machine - Model 151,Washing Machine,152,80,0.0%,60.3%,15.0%,24.7%,48,12,20
Washing Machine - Model 152,Washing Machine,152,75,0.0%,74.2%,15.8%,10.0%,56,12,7
Refrigerator - Model 1,Refrigerator,131,68,0.0%,53.0%,16.8%,30.2%,36,11,21
Refrigerator - Model 2,Refrigerator,131,54,0.0%,75.1%,6.0%,18.9%,41,3,10
Refrigerator - Model 3,Refrigerator,131,7,0.0%,72.2%,14.2%,13.6%,5,1,1
Refrigerator - Model 4,Refrigerator,131,41,0.0%,74.2%,25.1%,0.8%,30,10,1
Refrigerator - Model 5,Refrigerator,131,78,0.0%,54.0%,22.3%,23.7%,42,17,19
Refrigerator - Model 6,Refrigerator,131,282,0.1%,46.4%,27.4%,26.2%,131,77,74
Refrigerator - Model 7,Refrigerator,131,58,0.0%,56.2%,16.4%,27.4%,33,10,15
Refrigerator - Model 8,Refrigerator,131,27,0.0%,68.2%,25.5%,6.2%,18,7,2
Refrigerator - Model 9,Refrigerator,131,15,0.0%,49.5%,21.5%,29.0%,7,3,5
Refrigerator - Model 10,Refrigerator,131,120,0.0%,55.7%,14.2%,30.1%,67,17,36
Refrigerator - Model 11,Refrigerator,131,98,0.0%,67.6%,14.7%,17.7%,66,14,18
Refrigerator - Model 12,Refrigerator,131,16,0.0%,53.8%,25.9%,20.3%,9,4,3
Refrigerator - Model 13,Refrigerator,131,13,0.0%,44.1%,21.9%,34.1%,6,3,4
Refrigerator - Model 14,Refrigerator,131,73,0.0%,49.9%,5.4%,44.7%,36,4,33
Refrigerator - Model 15,Refrigerator,131,22,0.0%,46.7%,20.2%,33.2%,10,4,8
Refrigerator - Model 16,Refrigerator,131,21,0.0%,68.4%,5.5%,26.1%,14,1,6
Refrigerator - Model 17,Refrigerator,131,10,0.0%,41.5%,27.6%,31.0%,4,3,3
Refrigerator - Model 18,Refrigerator,131,18,0.0%,42.9%,27.4%,29.7%,8,5,5
Refrigerator - Model 19,Refrigerator,131,33,0.0%,49.1%,23.5%,27.4%,16,8,9
Refrigerator - Model 20,Refrigerator,131,77,0.0%,52.4%,26.5%,21.1%,40,20,17
Refrigerator - Model 21,Refrigerator,131,24,0.0%,68.0%,15.0%,16.9%,16,4,4
Refrigerator - Model 22,Refrigerator,131,23,0.0%,43.1%,23.3%,33.6%,10,5,8
Refrigerator - Model 23,Refrigerator,131,20,0.0%,64.7%,5.1%,30.3%,13,1,6
Refrigerator - Model 24,Refrigerator,131,38,0.0%,40.4%,25.2%,34.4%,15,10,13
Refrigerator - Model 25,Refrigerator,131,12,0.0%,50.4%,20.9%,28.7%,6,3,3
Refrigerator - Model 26,Refrigerator,131,39,0.0%,58.2%,26.6%,15.2%,23,10,6
Refrigerator - Model 27,Refrigerator,131,71,0.0%,73.4%,26.6%,0.0%,52,19,0
Refrigerator - Model 28,Refrigerator,131,2,0.0%,46.1%,26.6%,27.3%,1,1,0
Refrigerator - Model 29,Refrigerator,131,1,0.0%,50.6%,19.8%,29.6%,1,0,0
Refrigerator - Model 30,Refrigerator,131,5,0.0%,60.2%,5.4%,34.3%,3,0,2
Refrigerator - Model 31,Refrigerator,131,45,0.0%,77.3%,7.0%,15.7%,35,3,7
Refrigerator - Model 32,Refrigerator,131,112,0.0%,67.5%,24.6%,7.8%,76,28,8
Refrigerator - Model 33,Refrigerator,131,0,0.0%,71.8%,8.4%,19.8%,0,0,0
Refrigerator - Model 34,Refrigerator,131,161,0.1%,57.9%,25.7%,16.4%,93,41,27
Refrigerator - Model 35,Refrigerator,131,7,0.0%,52.1%,16.7%,31.2%,4,1,2
Refrigerator - Model 36,Refrigerator,131,108,0.0%,50.9%,16.6%,32.5%,55,18,35
Refrigerator - Model 37,Refrigerator,131,38,0.0%,75.5%,16.4%,8.1%,29,6,3
Refrigerator - Model 38,Refrigerator,131,63,0.0%,62.2%,15.1%,22.7%,39,10,14
Refrigerator - Model 39,Refrigerator,131,42,0.0%,58.4%,5.4%,36.2%,25,2,15
Refrigerator - Model 40,Refrigerator,131,38,0.0%,51.3%,15.9%,32.7%,20,6,12
Refrigerator - Model 41,Refrigerator,131,105,0.0%,65.4%,16.3%,18.4%,69,17,19
Refrigerator - Model 42,Refrigerator,131,82,0.0%,53.5%,14.7%,31.8%,44,12,26
Refrigerator - Model 43,Refrigerator,131,39,0.0%,49.7%,28.1%,22.2%,19,11,9
Refrigerator - Model 44,Refrigerator,131,7,0.0%,60.9%,5.3%,33.8%,4,0,3
Refrigerator - Model 45,Refrigerator,131,7,0.0%,40.8%,29.3%,29.9%,3,2,2
Refrigerator - Model 46,Refrigerator,131,94,0.0%,48.9%,25.1%,26.0%,46,24,24
Refrigerator - Model 47,Refrigerator,131,44,0.0%,42.3%,28.0%,29.6%,19,12,13
Refrigerator - Model 48,Refrigerator,131,38,0.0%,75.0%,19.3%,5.7%,28,7,3
Refrigerator - Model 49,Refrigerator,131,67,0.0%,40.4%,11.4%,48.2%,27,8,32
Refrigerator - Model 50,Refrigerator,131,114,0.0%,56.3%,16.5%,27.2%,64,19,31
Refrigerator - Model 51,Refrigerator,131,58,0.0%,51.9%,5.8%,42.3%,30,3,25
Refrigerator - Model 52,Refrigerator,131,84,0.0%,63.6%,18.1%,18.3%,53,15,16
Refrigerator - Model 53,Refrigerator,131,85,0.0%,51.3%,5.9%,42.7%,44,5,36
Refrigerator - Model 54,Refrigerator,131,26,0.0%,79.8%,17.0%,3.2%,21,4,1
Refrigerator - Model 55,Refrigerator,131,19,0.0%,70.2%,16.3%,13.5%,13,3,3
Refrigerator - Model 56,Refrigerator,131,94,0.0%,41.7%,12.7%,45.5%,39,12,43
Refrigerator - Model 57,Refrigerator,131,28,0.0%,52.8%,26.0%,21.2%,15,7,6
Refrigerator - Model 58,Refrigerator,131,136,0.0%,66.2%,11.9%,21.9%,90,16,30
Refrigerator - Model 59,Refrigerator,131,4,0.0%,78.7%,13.0%,8.3%,3,1,0
Refrigerator - Model 60,Refrigerator,131,3,0.0%,75.0%,25.0%,0.0%,2,1,0
Refrigerator - Model 61,Refrigerator,131,153,0.1%,47.6%,12.8%,39.5%,73,20,60
Refrigerator - Model 62,Refrigerator,131,61,0.0%,59.4%,21.6%,19.0%,36,13,12
Refrigerator - Model 63,Refrigerator,131,28,0.0%,61.1%,29.2%,9.6%,17,8,3
Refrigerator - Model 64,Refrigerator,131,82,0.0%,69.0%,10.3%,20.7%,57,8,17
Refrigerator - Model 65,Refrigerator,131,65,0.0%,44.2%,22.2%,33.6%,29,14,22
Refrigerator - Model 66,Refrigerator,131,44,0.0%,46.3%,24.7%,29.0%,20,11,13
Refrigerator - Model 67,Refrigerator,131,6,0.0%,52.4%,13.2%,34.4%,3,1,2
Refrigerator - Model 68,Refrigerator,131,98,0.0%,40.4%,22.5%,37.0%,40,22,36
Refrigerator - Model 69,Refrigerator,131,117,0.0%,44.5%,24.3%,31.1%,52,28,37
Refrigerator - Model 70,Refrigerator,131,11,0.0%,59.7%,24.6%,15.7%,7,3,1
Refrigerator - Model 71,Refrigerator,131,111,0.0%,63.4%,7.1%,29.6%,70,8,33
Refrigerator - Model 72,Refrigerator,131,123,0.0%,70.6%,6.7%,22.6%,87,8,28
Refrigerator - Model 73,Refrigerator,131,47,0.0%,59.1%,9.3%,31.5%,28,4,15
Refrigerator - Model 74,Refrigerator,131,62,0.0%,70.1%,27.8%,2.1%,43,17,2
Refrigerator - Model 75,Refrigerator,131,28,0.0%,62.2%,18.2%,19.7%,17,5,6
Refrigerator - Model 76,Refrigerator,131,19,0.0%,70.6%,5.1%,24.3%,13,1,5
Refrigerator - Model 77,Refrigerator,131,75,0.0%,76.7%,9.9%,13.4%,58,7,10
Refrigerator - Model 78,Refrigerator,131,115,0.0%,78.0%,22.0%,0.0%,90,25,0
Refrigerator - Model 79,Refrigerator,131,62,0.0%,71.0%,21.4%,7.6%,44,13,5
Refrigerator - Model 80,Refrigerator,131,42,0.0%,58.9%,19.3%,21.8%,25,8,9
Refrigerator - Model 81,Refrigerator,131,10,0.0%,41.9%,20.6%,37.5%,4,2,4
Refrigerator - Model 82,Refrigerator,131,3,0.0%,65.0%,27.3%,7.7%,2,1,0
Refrigerator - Model 83,Refrigerator,131,34,0.0%,60.2%,6.9%,32.8%,20,2,12
Refrigerator - Model 84,Refrigerator,131,3,0.0%,52.2%,21.4%,26.4%,2,1,0
Refrigerator - Model 85,Refrigerator,131,49,0.0%,49.6%,12.0%,38.4%,24,6,19
Refrigerator - Model 86,Refrigerator,131,28,0.0%,72.8%,19.6%,7.6%,20,5,3
Refrigerator - Model 87,Refrigerator,131,83,0.0%,60.3%,13.0%,26.7%,50,11,22
Refrigerator - Model 88,Refrigerator,131,21,0.0%,69.2%,12.2%,18.6%,15,3,3
Refrigerator - Model 89,Refrigerator,131,52,0.0%,69.5%,6.8%,23.8%,36,4,12
Refrigerator - Model 90,Refrigerator,131,45,0.0%,74.6%,17.5%,7.9%,34,8,3
Refrigerator - Model 91,Refrigerator,131,0,0.0%,57.5%,20.3%,22.2%,0,0,0
Refrigerator - Model 92,Refrigerator,131,4,0.0%,65.0%,8.3%,26.7%,3,0,1
Refrigerator - Model 93,Refrigerator,131,20,0.0%,70.2%,11.9%,17.9%,14,2,4
Refrigerator - Model 94,Refrigerator,131,125,0.0%,75.4%,24.6%,0.0%,94,31,0
Refrigerator - Model 95,Refrigerator,131,9,0.0%,53.9%,25.2%,21.0%,5,2,2
Refrigerator - Model 96,Refrigerator,131,72,0.0%,54.3%,7.5%,38.2%,39,5,28
Refrigerator - Model 97,Refrigerator,131,212,0.1%,78.5%,21.3%,0.2%,166,45,1
Refrigerator - Model 98,Refrigerator,131,91,0.0%,58.2%,14.9%,26.8%,53,14,24
Refrigerator - Model 99,Refrigerator,131,16,0.0%,53.0%,29.5%,17.5%,8,5,3
Refrigerator - Model 100,Refrigerator,131,139,0.1%,45.4%,12.9%,41.7%,63,18,58
Refrigerator - Model 101,Refrigerator,131,6,0.0%,59.4%,16.9%,23.6%,4,1,1
Refrigerator - Model 102,Refrigerator,131,37,0.0%,58.9%,9.4%,31.8%,22,3,12
Refrigerator - Model 103,Refrigerator,131,127,0.0%,45.8%,11.4%,42.8%,58,14,55
Refrigerator - Model 104,Refrigerator,131,60,0.0%,76.6%,7.8%,15.6%,46,5,9
Refrigerator - Model 105,Refrigerator,131,31,0.0%,70.3%,23.9%,5.8%,22,7,2
Refrigerator - Model 106,Refrigerator,131,20,0.0%,72.4%,27.2%,0.4%,14,5,1
Refrigerator - Model 107,Refrigerator,131,27,0.0%,50.5%,10.6%,38.9%,14,3,10
Refrigerator - Model 108,Refrigerator,131,41,0.0%,58.6%,11.6%,29.8%,24,5,12
Refrigerator - Model 109,Refrigerator,131,22,0.0%,69.4%,20.9%,9.7%,15,5,2
Refrigerator - Model 110,Refrigerator,131,203,0.1%,75.0%,7.1%,17.9%,152,14,37
Refrigerator - Model 111,Refrigerator,131,158,0.1%,76.6%,12.3%,11.1%,121,19,18
Refrigerator - Model 112,Refrigerator,131,119,0.0%,59.6%,16.0%,24.4%,71,19,29
Refrigerator - Model 113,Refrigerator,131,32,0.0%,70.4%,15.5%,14.1%,23,5,4
Refrigerator - Model 114,Refrigerator,131,69,0.0%,75.1%,24.9%,0.0%,52,17,0
Refrigerator - Model 115,Refrigerator,131,136,0.0%,74.9%,6.8%,18.3%,102,9,25
Refrigerator - Model 116,Refrigerator,131,111,0.0%,74.2%,24.5%,1.3%,82,27,2
Refrigerator - Model 117,Refrigerator,131,31,0.0%,44.1%,7.7%,48.2%,14,2,15
Refrigerator - Model 118,Refrigerator,131,7,0.0%,44.0%,5.3%,50.7%,3,0,4
Refrigerator - Model 119,Refrigerator,131,5,0.0%,61.9%,29.3%,8.7%,3,1,1
Refrigerator - Model 120,Refrigerator,131,50,0.0%,57.5%,18.5%,23.9%,29,9,12
Refrigerator - Model 121,Refrigerator,131,60,0.0%,78.7%,11.4%,9.9%,47,7,6
Refrigerator - Model 122,Refrigerator,131,111,0.0%,74.3%,18.7%,7.0%,83,21,7
Refrigerator - Model 123,Refrigerator,131,20,0.0%,62.8%,13.6%,23.6%,13,3,4
Refrigerator - Model 124,Refrigerator,131,11,0.0%,62.5%,6.8%,30.7%,7,1,3
Refrigerator - Model 125,Refrigerator,131,28,0.0%,70.6%,12.1%,17.3%,20,3,5
Refrigerator - Model 126,Refrigerator,131,25,0.0%,75.5%,14.2%,10.3%,19,4,2
Refrigerator - Model 127,Refrigerator,131,8,0.0%,45.7%,22.4%,31.9%,4,2,2
Refrigerator - Model 128,Refrigerator,131,65,0.0%,46.6%,23.8%,29.6%,30,15,20
Refrigerator - Model 129,Refrigerator,131,41,0.0%,77.1%,22.9%,0.0%,32,9,0
Refrigerator - Model 130,Refrigerator,131,74,0.0%,40.9%,20.0%,39.1%,30,15,29
Refrigerator - Model 131,Refrigerator,131,25,0.0%,67.8%,25.6%,6.5%,17,6,2
Microwave - Model 1,Microwave,150,49,0.0%,45.1%,5.5%,49.4%,22,3,24
Microwave - Model 2,Microwave,150,57,0.0%,67.6%,12.5%,19.9%,39,7,11
Microwave - Model 3,Microwave,150,14,0.0%,65.0%,8.8%,26.2%,9,1,4
Microwave - Model 4,Microwave,150,29,0.0%,58.8%,17.6%,23.6%,17,5,7
Microwave - Model 5,Microwave,150,44,0.0%,63.4%,17.8%,18.8%,28,8,8
Microwave - Model 6,Microwave,150,134,0.0%,59.8%,13.3%,26.9%,80,18,36
Microwave - Model 7,Microwave,150,199,0.1%,42.8%,7.2%,49.9%,85,14,100
Microwave - Model 8,Microwave,150,74,0.0%,57.4%,13.9%,28.8%,42,10,22
Microwave - Model 9,Microwave,150,38,0.0%,60.6%,12.6%,26.7%,23,5,10
Microwave - Model 10,Microwave,150,22,0.0%,67.5%,26.6%,5.9%,15,6,1
Microwave - Model 11,Microwave,150,302,0.1%,52.0%,9.8%,38.2%,157,30,115
Microwave - Model 12,Microwave,150,306,0.1%,44.6%,20.4%,34.9%,137,62,107
Microwave - Model 13,Microwave,150,194,0.1%,57.8%,9.7%,32.5%,112,19,63
Microwave - Model 14,Microwave,150,116,0.0%,66.1%,8.7%,25.2%,77,10,29
Microwave - Model 15,Microwave,150,30,0.0%,62.2%,18.2%,19.6%,19,5,6
Microwave - Model 16,Microwave,150,127,0.0%,69.4%,6.4%,24.3%,88,8,31
Microwave - Model 17,Microwave,150,39,0.0%,75.5%,22.6%,1.9%,29,9,1
Microwave - Model 18,Microwave,150,30,0.0%,48.6%,9.6%,41.8%,15,3,12
Microwave - Model 19,Microwave,150,102,0.0%,57.3%,25.4%,17.3%,58,26,18
Microwave - Model 20,Microwave,150,6,0.0%,73.7%,18.0%,8.3%,4,1,1
Microwave - Model 21,Microwave,150,4,0.0%,74.4%,5.1%,20.4%,3,0,1
Microwave - Model 22,Microwave,150,45,0.0%,41.4%,27.8%,30.8%,19,13,13
Microwave - Model 23,Microwave,150,44,0.0%,71.0%,16.3%,12.7%,31,7,6
Microwave - Model 24,Microwave,150,170,0.1%,70.1%,28.9%,1.0%,119,49,2
Microwave - Model 25,Microwave,150,10,0.0%,70.9%,26.1%,3.1%,7,3,0
Microwave - Model 26,Microwave,150,10,0.0%,70.4%,9.2%,20.4%,7,1,2
Microwave - Model 27,Microwave,150,12,0.0%,73.3%,9.9%,16.8%,9,1,2
Microwave - Model 28,Microwave,150,2,0.0%,75.7%,16.5%,7.8%,2,0,0
Microwave - Model 29,Microwave,150,6,0.0%,67.1%,17.4%,15.5%,4,1,1
Microwave - Model 30,Microwave,150,81,0.0%,43.8%,12.3%,44.0%,35,10,36
Microwave - Model 31,Microwave,150,42,0.0%,75.2%,24.8%,0.0%,32,10,0
Microwave - Model 32,Microwave,150,108,0.0%,52.8%,29.9%,17.3%,57,32,19
Microwave - Model 33,Microwave,150,368,0.1%,73.8%,20.3%,5.9%,272,75,21
Microwave - Model 34,Microwave,150,81,0.0%,41.6%,27.5%,30.9%,34,22,25
Microwave - Model 35,Microwave,150,4,0.0%,62.3%,26.7%,11.0%,2,1,1
Microwave - Model 36,Microwave,150,8,0.0%,73.4%,25.8%,0.8%,6,2,0
Microwave - Model 37,Microwave,150,160,0.1%,67.9%,12.3%,19.8%,109,20,31
Microwave - Model 38,Microwave,150,56,0.0%,53.4%,12.7%,33.8%,30,7,19
Microwave - Model 39,Microwave,150,131,0.0%,40.8%,19.6%,39.6%,53,26,52
Microwave - Model 40,Microwave,150,146,0.1%,68.0%,26.3%,5.7%,99,38,9
Microwave - Model 41,Microwave,150,197,0.1%,45.6%,18.6%,35.8%,90,37,70
Microwave - Model 42,Microwave,150,224,0.1%,40.3%,7.4%,52.3%,90,17,117
Microwave - Model 43,Microwave,150,61,0.0%,42.2%,23.1%,34.7%,26,14,21
Microwave - Model 44,Microwave,150,31,0.0%,43.2%,22.9%,33.8%,13,7,11
Microwave - Model 45,Microwave,150,245,0.1%,50.0%,26.9%,23.1%,122,66,57
Microwave - Model 46,Microwave,150,59,0.0%,71.8%,28.2%,0.0%,42,17,0
Microwave - Model 47,Microwave,150,5,0.0%,73.5%,26.5%,0.0%,4,1,0
Microwave - Model 48,Microwave,150,77,0.0%,74.3%,22.3%,3.3%,57,17,3
Microwave - Model 49,Microwave,150,66,0.0%,46.8%,11.8%,41.4%,31,8,27
Microwave - Model 50,Microwave,150,170,0.1%,48.5%,20.1%,31.4%,82,34,54
Microwave - Model 51,Microwave,150,79,0.0%,60.1%,26.7%,13.2%,48,21,10
Microwave - Model 52,Microwave,150,32,0.0%,78.1%,15.1%,6.8%,25,5,2
Microwave - Model 53,Microwave,150,254,0.1%,60.3%,29.3%,10.5%,153,74,27
Microwave - Model 54,Microwave,150,121,0.0%,51.0%,24.8%,24.1%,62,30,29
Microwave - Model 55,Microwave,150,75,0.0%,49.0%,22.0%,29.0%,37,17,21
Microwave - Model 56,Microwave,150,26,0.0%,50.1%,27.1%,22.8%,13,7,6
Microwave - Model 57,Microwave,150,35,0.0%,62.5%,9.6%,27.9%,22,3,10
Microwave - Model 58,Microwave,150,83,0.0%,49.0%,17.3%,33.7%,41,14,28
Microwave - Model 59,Microwave,150,6,0.0%,77.1%,22.9%,0.0%,5,1,0
Microwave - Model 60,Microwave,150,22,0.0%,59.5%,13.4%,27.0%,13,3,6
Microwave - Model 61,Microwave,150,94,0.0%,62.0%,23.7%,14.3%,58,22,14
Microwave - Model 62,Microwave,150,49,0.0%,71.4%,13.1%,15.5%,35,6,8
Microwave - Model 63,Microwave,150,39,0.0%,68.8%,21.4%,9.7%,27,8,4
Microwave - Model 64,Microwave,150,12,0.0%,75.0%,25.0%,0.0%,9,3,0
Microwave - Model 65,Microwave,150,44,0.0%,71.6%,23.1%,5.3%,31,10,3
Microwave - Model 66,Microwave,150,110,0.0%,51.0%,26.1%,22.9%,56,29,25
Microwave - Model 67,Microwave,150,23,0.0%,57.1%,11.8%,31.1%,13,3,7
Microwave - Model 68,Microwave,150,0,0.0%,55.4%,25.9%,18.7%,0,0,0
Microwave - Model 69,Microwave,150,83,0.0%,45.9%,16.4%,37.7%,38,14,31
Microwave - Model 70,Microwave,150,270,0.1%,59.7%,5.9%,34.4%,161,16,93
Microwave - Model 71,Microwave,150,70,0.0%,47.8%,25.7%,26.5%,33,18,19
Microwave - Model 72,Microwave,150,10,0.0%,73.2%,12.3%,14.5%,7,1,2
Microwave - Model 73,Microwave,150,29,0.0%,75.0%,24.3%,0.7%,22,7,0
Microwave - Model 74,Microwave,150,152,0.1%,56.7%,23.7%,19.6%,86,36,30
Microwave - Model 75,Microwave,150,20,0.0%,78.5%,16.5%,5.1%,16,3,1
Microwave - Model 76,Microwave,150,70,0.0%,49.5%,28.5%,21.9%,35,20,15
Microwave - Model 77,Microwave,150,39,0.0%,64.1%,7.6%,28.2%,25,3,11
Microwave - Model 78,Microwave,150,17,0.0%,62.9%,17.5%,19.6%,11,3,3
Microwave - Model 79,Microwave,150,126,0.0%,74.2%,18.3%,7.5%,94,23,9
Microwave - Model 80,Microwave,150,102,0.0%,50.2%,21.9%,27.9%,51,22,29
Microwave - Model 81,Microwave,150,81,0.0%,61.7%,10.8%,27.5%,50,9,22
Microwave - Model 82,Microwave,150,20,0.0%,62.9%,25.5%,11.5%,13,5,2
Microwave - Model 83,Microwave,150,8,0.0%,41.1%,20.8%,38.1%,3,2,3
Microwave - Model 84,Microwave,150,64,0.0%,54.0%,12.3%,33.7%,35,8,21
Microwave - Model 85,Microwave,150,61,0.0%,55.7%,13.6%,30.7%,34,8,19
Microwave - Model 86,Microwave,150,16,0.0%,73.3%,11.9%,14.8%,12,2,2
Microwave - Model 87,Microwave,150,4,0.0%,69.3%,7.4%,23.3%,3,0,1
Microwave - Model 88,Microwave,150,6,0.0%,78.1%,20.6%,1.4%,5,1,0
Microwave - Model 89,Microwave,150,370,0.1%,68.3%,12.5%,19.3%,253,46,71
Microwave - Model 90,Microwave,150,115,0.0%,56.5%,10.6%,32.9%,65,12,38
Microwave - Model 91,Microwave,150,191,0.1%,77.3%,17.2%,5.5%,148,33,10
Microwave - Model 92,Microwave,150,16,0.0%,65.2%,23.4%,11.4%,10,4,2
Microwave - Model 93,Microwave,150,243,0.1%,54.8%,23.0%,22.2%,133,56,54
Microwave - Model 94,Microwave,150,12,0.0%,67.0%,22.6%,10.3%,8,3,1
Microwave - Model 95,Microwave,150,53,0.0%,59.6%,14.6%,25.9%,32,8,13
Microwave - Model 96,Microwave,150,133,0.0%,48.9%,25.6%,25.5%,65,34,34
Microwave - Model 97,Microwave,150,32,0.0%,64.3%,16.1%,19.6%,21,5,6
Microwave - Model 98,Microwave,150,41,0.0%,77.8%,6.2%,16.0%,32,3,6
Microwave - Model 99,Microwave,150,10,0.0%,72.0%,28.0%,0.0%,7,3,0
Microwave - Model 100,Microwave,150,10,0.0%,75.1%,24.9%,0.0%,8,2,0
Microwave - Model 101,Microwave,150,72,0.0%,55.0%,10.8%,34.2%,40,8,24
Microwave - Model 102,Microwave,150,84,0.0%,69.4%,12.6%,18.0%,58,11,15
Microwave - Model 103,Microwave,150,113,0.0%,47.0%,24.7%,28.3%,53,28,32
Microwave - Model 104,Microwave,150,61,0.0%,52.5%,27.9%,19.6%,32,17,12
Microwave - Model 105,Microwave,150,78,0.0%,73.6%,26.2%,0.2%,57,20,1
Microwave - Model 106,Microwave,150,1,0.0%,70.9%,27.0%,2.1%,1,0,0
Microwave - Model 107,Microwave,150,13,0.0%,72.2%,20.1%,7.7%,9,3,1
Microwave - Model 108,Microwave,150,315,0.1%,51.8%,27.2%,21.0%,163,86,66
Microwave - Model 109,Microwave,150,6,0.0%,73.6%,16.8%,9.6%,4,1,1
Microwave - Model 110,Microwave,150,85,0.0%,41.6%,21.0%,37.5%,35,18,32
Microwave - Model 111,Microwave,150,15,0.0%,42.0%,28.2%,29.8%,6,4,5
Microwave - Model 112,Microwave,150,95,0.0%,78.5%,9.7%,11.8%,75,9,11
Microwave - Model 113,Microwave,150,92,0.0%,67.1%,7.3%,25.6%,62,7,23
Microwave - Model 114,Microwave,150,20,0.0%,69.2%,13.7%,17.1%,14,3,3
Microwave - Model 115,Microwave,150,24,0.0%,67.2%,14.3%,18.4%,16,3,5
Microwave - Model 116,Microwave,150,80,0.0%,45.8%,15.2%,39.0%,37,12,31
Microwave - Model 117,Microwave,150,37,0.0%,44.5%,19.4%,36.1%,16,7,14
Microwave - Model 118,Microwave,150,16,0.0%,41.6%,18.2%,40.2%,7,3,6
Microwave - Model 119,Microwave,150,99,0.0%,74.8%,25.2%,0.0%,74,25,0
Microwave - Model 120,Microwave,150,13,0.0%,73.6%,26.4%,0.0%,10,3,0
Microwave - Model 121,Microwave,150,145,0.1%,44.2%,8.2%,47.6%,64,12,69
Microwave - Model 122,Microwave,150,54,0.0%,62.3%,27.3%,10.4%,34,15,5
Microwave - Model 123,Microwave,150,8,0.0%,79.0%,6.2%,14.9%,6,0,2
Microwave - Model 124,Microwave,150,89,0.0%,54.2%,10.3%,35.4%,48,9,32
Microwave - Model 125,Microwave,150,55,0.0%,70.2%,21.0%,8.8%,39,12,4
Microwave - Model 126,Microwave,150,27,0.0%,44.8%,17.1%,38.1%,12,5,10
Microwave - Model 127,Microwave,150,41,0.0%,67.4%,24.5%,8.1%,28,10,3
Microwave - Model 128,Microwave,150,27,0.0%,40.8%,27.3%,31.9%,11,7,9
Microwave - Model 129,Microwave,150,23,0.0%,62.8%,25.3%,11.9%,14,6,3
Microwave - Model 130,Microwave,150,13,0.0%,72.3%,9.7%,17.9%,9,1,3
Microwave - Model 131,Microwave,150,34,0.0%,44.4%,23.0%,32.6%,15,8,11
Microwave - Model 132,Microwave,150,22,0.0%,46.3%,26.2%,27.5%,10,6,6
Microwave - Model 133,Microwave,150,86,0.0%,69.0%,26.0%,4.9%,59,22,5
Microwave - Model 134,Microwave,150,86,0.0%,52.0%,12.9%,35.1%,45,11,30
Microwave - Model 135,Microwave,150,52,0.0%,66.8%,5.8%,27.4%,35,3,14
Microwave - Model 136,Microwave,150,113,0.0%,69.1%,25.9%,5.0%,78,29,6
Microwave - Model 137,Microwave,150,138,0.0%,56.6%,24.1%,19.3%,78,33,27
Microwave - Model 138,Microwave,150,65,0.0%,47.0%,13.1%,40.0%,31,8,26
Microwave - Model 139,Microwave,150,72,0.0%,74.7%,25.3%,0.0%,54,18,0
Microwave - Model 140,Microwave,150,25,0.0%,60.5%,28.4%,11.1%,15,7,3
Microwave - Model 141,Microwave,150,169,0.1%,60.9%,12.3%,26.8%,103,21,45
Microwave - Model 142,Microwave,150,2,0.0%,50.7%,28.2%,21.1%,1,1,0
